# [1]TIME  [2]v_out09 
 1.251137e-09  1.183107e+00 
 1.255848e-09  1.187971e+00 
 1.260561e-09  1.188935e+00 
 1.266107e-09  1.210680e+00 
 1.271435e-09  1.247020e+00 
 1.272745e-09  1.248598e+00 
 1.273887e-09  1.240439e+00 
 1.277541e-09  1.127761e+00 
 1.282430e-09  8.286109e-01 
 1.288332e-09  3.813563e-01 
 1.292873e-09  1.660252e-01 
 1.297680e-09  9.190791e-02 
 1.301989e-09  5.324040e-02 
 1.307281e-09  2.866930e-02 
 1.311963e-09  2.276740e-02 
 1.316606e-09  2.196163e-02 
 1.320889e-09  1.958009e-02 
 1.326126e-09  1.629918e-02 
 1.331532e-09  1.309153e-02 
 1.336187e-09  1.026284e-02 
 1.340904e-09  7.587452e-03 
 1.346319e-09  7.291635e-03 
 1.351887e-09  8.226556e-03 
 1.356517e-09  -5.838678e-03 
 1.361339e-09  -3.440238e-02 
 1.366766e-09  5.335708e-02 
 1.372290e-09  3.590014e-01 
 1.376935e-09  5.879495e-01 
 1.381730e-09  6.803869e-01 
 1.387277e-09  7.368060e-01 
 1.392698e-09  8.014414e-01 
 1.397378e-09  8.720827e-01 
 1.402146e-09  9.366481e-01 
 1.407767e-09  1.004965e+00 
 1.413097e-09  1.062457e+00 
 1.417806e-09  1.105947e+00 
 1.422543e-09  1.140153e+00 
 1.428101e-09  1.167842e+00 
 1.433417e-09  1.183107e+00 
 1.438128e-09  1.187971e+00 
 1.442841e-09  1.188935e+00 
 1.448387e-09  1.210680e+00 
 1.453715e-09  1.247020e+00 
 1.455025e-09  1.248598e+00 
 1.456167e-09  1.240439e+00 
 1.459821e-09  1.127761e+00 
 1.464710e-09  8.286109e-01 
 1.470612e-09  3.813563e-01 
 1.475153e-09  1.660252e-01 
 1.479960e-09  9.190791e-02 
 1.484269e-09  5.324040e-02 
 1.489561e-09  2.866930e-02 
 1.494243e-09  2.276740e-02 
 1.498886e-09  2.196163e-02 
 1.503169e-09  1.958009e-02 
 1.508406e-09  1.629918e-02 
 1.513812e-09  1.309153e-02 
 1.518467e-09  1.026284e-02 
 1.523184e-09  7.587452e-03 
 1.528599e-09  7.291635e-03 
 1.534167e-09  8.226556e-03 
 1.538796e-09  -5.838678e-03 
 1.543619e-09  -3.440238e-02 
 1.549046e-09  5.335708e-02 
 1.554570e-09  3.590014e-01 
 1.559215e-09  5.879495e-01 
 1.564010e-09  6.803869e-01 
 1.569557e-09  7.368060e-01 
 1.574978e-09  8.014414e-01 
 1.579658e-09  8.720827e-01 
